subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,i_temp_mean,i_temp_std,P_mean,P_std
WT1,1,73,0.18743524659125688,,13.682773001161753,,0.5593390721056589,,4.592400072969398,,0.7457997211740144,
WT2,1,74,0.18952195379552983,,14.024624580869208,,0.4628202809079412,,4.591585206334272,,-0.5220065634370878,
WT3,1,100,0.19212826848539497,,19.212826848539496,,0.4969468987779564,,4.391039205529707,,0.608742447016515,
WT4,1,88,0.1789143981322718,,15.744467035639918,,0.5088090160796819,,4.601110999597639,,-1.066080458622342,
WT5,1,102,0.16464019139482255,,16.7932995222719,,0.5485752127645618,,4.693854011552336,,-1.3428629682373057,
WT6,1,91,0.18098671484199688,,16.469791050621716,,0.5089493677156173,,4.7390292531793206,,-0.8569957600650878,
